,2020 TAR,2020 REC,2020 REC YARDS,2020 AVG REC YARDS,2020 REC TDS,2020 RUSH CAR,2020 RUSH YARDS,2020 RUSH TDS,2020 FPTS
188,3.0,2.0,20.0,12.6,0.0,0.0,0.0,0.0,4.32
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
